Catcode,Project Category,Catorder
A0000,"Agriculture, Food, & Consumer Goods",A11
A1000,"Agriculture, Food, & Consumer Goods",A01
A1100,"Agriculture, Food, & Consumer Goods",A01
A1200,"Agriculture, Food, & Consumer Goods",A01
A1300,"Agriculture, Food, & Consumer Goods",A02
A1400,"Agriculture, Food, & Consumer Goods",A01
A1500,"Agriculture, Food, & Consumer Goods",A01
A1600,"Agriculture, Food, & Consumer Goods",A01
A2000,"Agriculture, Food, & Consumer Goods",A04
A2300,"Agriculture, Food, & Consumer Goods",A05
A3000,"Agriculture, Food, & Consumer Goods",A06
A3100,"Agriculture, Food, & Consumer Goods",A07
A3200,"Agriculture, Food, & Consumer Goods",A06
A3300,"Agriculture, Food, & Consumer Goods",A06
A3500,"Agriculture, Food, & Consumer Goods",A06
A4000,"Agriculture, Food, & Consumer Goods",A07
A4100,"Agriculture, Food, & Consumer Goods",A07
A4200,"Agriculture, Food, & Consumer Goods",A07
A4300,"Agriculture, Food, & Consumer Goods",A07
A4500,"Agriculture, Food, & Consumer Goods",A07
A5000,"Agriculture, Food, & Consumer Goods",A10
A5200,"Agriculture, Food, & Consumer Goods",A10
A6000,"Agriculture, Food, & Consumer Goods",A07
A6500,"Agriculture, Food, & Consumer Goods",A07
A8000,"Agriculture, Food, & Consumer Goods",A07
B0000,"Finance, Insurance & Real Estate",C01
B0500,"Finance, Insurance & Real Estate",C01
B1000,"Finance, Insurance & Real Estate",C01
B1200,"Finance, Insurance & Real Estate",C01
B1500,"Finance, Insurance & Real Estate",C01
B2000,"Finance, Insurance & Real Estate",C02
B2400,"Finance, Insurance & Real Estate",C02
B3000,"Finance, Insurance & Real Estate",C03
B3200,"Finance, Insurance & Real Estate",C03
B3400,"Finance, Insurance & Real Estate",C03
B3600,"Finance, Insurance & Real Estate",C03
B4000,"Finance, Insurance & Real Estate",C04
B4200,"Finance, Insurance & Real Estate",C04
B4300,"Finance, Insurance & Real Estate",C04
B4400,"Finance, Insurance & Real Estate",C04
B5000,"Finance, Insurance & Real Estate",C05
B5100,"Finance, Insurance & Real Estate",C05
B5200,"Finance, Insurance & Real Estate",C05
B5300,"Finance, Insurance & Real Estate",C05
B5400,"Finance, Insurance & Real Estate",C05
B5500,"Finance, Insurance & Real Estate",C05
B6000,"Finance, Insurance & Real Estate",C05
C0000,EXCLUDED,B00
C1000,EXCLUDED,B01
C1100,EXCLUDED,B01
C1300,EXCLUDED,B01
C1400,EXCLUDED,B01
C2000,EXCLUDED,B02
C2100,EXCLUDED,B02
C2200,EXCLUDED,B02
C2300,EXCLUDED,B02
C2400,EXCLUDED,B02
C2600,EXCLUDED,B02
C2700,EXCLUDED,B02
C2800,EXCLUDED,B02
C2900,EXCLUDED,B02
C4000,EXCLUDED,B09
C4100,EXCLUDED,B08
C4200,EXCLUDED,B08
C4300,EXCLUDED,B09
C4400,EXCLUDED,B09
C4500,EXCLUDED,B09
C4600,EXCLUDED,B09
C5000,EXCLUDED,B12
C5100,EXCLUDED,B12
C5110,EXCLUDED,B12
C5120,EXCLUDED,B12
C5130,EXCLUDED,B12
C5200,EXCLUDED,B12
C5300,EXCLUDED,B12
C5400,EXCLUDED,B12
C6000,EXCLUDED,B13
C6100,EXCLUDED,B13
C6200,EXCLUDED,B13
C6300,EXCLUDED,B13
C6400,EXCLUDED,B13
C6500,EXCLUDED,B13
D0000,Defense & Global Relations,D03
D2000,Defense & Global Relations,D01
D3000,Defense & Global Relations,D02
D4000,Defense & Global Relations,D03
D5000,Defense & Global Relations,D03
D6000,Defense & Global Relations,D03
D8000,Defense & Global Relations,D03
D9000,Defense & Global Relations,D03
E0000,Energy & Transportation,E07
E1000,Energy & Transportation,E07
E1100,Energy & Transportation,E01
E1110,Energy & Transportation,E01
E1120,Energy & Transportation,E01
E1140,Energy & Transportation,E01
E1150,Energy & Transportation,E01
E1160,Energy & Transportation,E01
E1170,Energy & Transportation,E01
E1180,Energy & Transportation,E01
E1190,Energy & Transportation,E01
E1200,Energy & Transportation,E04
E1210,Energy & Transportation,E04
E1220,Energy & Transportation,E04
E1230,Energy & Transportation,E04
E1240,Energy & Transportation,E04
E1300,Energy & Transportation,E08
E1320,Energy & Transportation,E08
E1500,Energy & Transportation,E07
E1600,Energy & Transportation,E08
E1610,Energy & Transportation,E08
E1620,Energy & Transportation,E08
E1630,Energy & Transportation,E08
E1700,Energy & Transportation,E07
E2000,Energy & Transportation,E09
E3000,Energy & Transportation,E10
E4000,Energy & Transportation,E11
E4100,Energy & Transportation,E11
E4200,Energy & Transportation,E11
E5000,Energy & Transportation,E07
F0000,"Finance, Insurance & Real Estate",F13
F1000,"Finance, Insurance & Real Estate",F03
F1100,"Finance, Insurance & Real Estate",F03
F1200,"Finance, Insurance & Real Estate",F04
F1300,"Finance, Insurance & Real Estate",F05
F1400,"Finance, Insurance & Real Estate",F06
F1410,"Finance, Insurance & Real Estate",F06
F1420,"Finance, Insurance & Real Estate",F06
F2000,"Finance, Insurance & Real Estate",F07
F2100,"Finance, Insurance & Real Estate",F07
F2110,"Finance, Insurance & Real Estate",F07
F2200,"Finance, Insurance & Real Estate",F07
F2300,"Finance, Insurance & Real Estate",F07
F2400,"Finance, Insurance & Real Estate",F07
F2500,"Finance, Insurance & Real Estate",F07
F2600,"Finance, Insurance & Real Estate",F07
F2700,"Finance, Insurance & Real Estate",F07
F3000,"Finance, Insurance & Real Estate",F09
F3100,"Finance, Insurance & Real Estate",F09
F3200,"Finance, Insurance & Real Estate",F09
F3300,"Finance, Insurance & Real Estate",F09
F3400,"Finance, Insurance & Real Estate",F09
F4000,"Finance, Insurance & Real Estate",F10
F4100,"Finance, Insurance & Real Estate",F10
F4200,"Finance, Insurance & Real Estate",F10
F4300,"Finance, Insurance & Real Estate",F10
F4400,"Finance, Insurance & Real Estate",F10
F4500,"Finance, Insurance & Real Estate",F10
F4600,"Finance, Insurance & Real Estate",F10
F4700,"Finance, Insurance & Real Estate",F10
F5000,"Finance, Insurance & Real Estate",F13
F5100,"Finance, Insurance & Real Estate",F11
F5200,"Finance, Insurance & Real Estate",F13
F5300,"Finance, Insurance & Real Estate",F13
F5500,"Finance, Insurance & Real Estate",F13
