,dw_nominate,govtrack_id,at_large,chamber,congress,date_of_birth,district,first_name,gender,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,office,party,senate_class,seniority,short_title,state,state_rank,suffix,title,total_present,total_votes,votes_with_party_pct,opensecrets,bioguide,ideaology,Finance
0,0.508,412630,False,House,115,1954-09-16,5,Ralph,M,False,Abraham,2019-04-08 10:25:08 -0400,,,18.0,1.49,2018,417 Cannon House Office Building,R,,4,Rep.,LA,,,Representative,0.0,1212.0,97.48,N00036633,A000374,"{'AgFood': '-0.045125', 'DefenseGlobal': '-0.03240476190476191', 'EnergyTransport': '0.10231578947368417', 'Finance': '-0.07605172413793104', 'Health': '-0.05830645161290325', 'LaborEmployment': '0.0454'}","{'Health': 145450, 'Finance, Insurance & Real Estate': 168400, 'Defense & Global Relations': 40000, 'Agriculture, Food, & Consumer Goods': 142500, 'Labor/Employment': 21000, 'Energy & Transportation': 108050}"
1,-0.469,412607,False,House,115,1946-05-27,12,Alma,F,False,Adams,2019-04-08 10:25:08 -0400,,,32.0,2.64,2018,222 Cannon House Office Building,D,,6,Rep.,NC,,,Representative,2.0,1212.0,96.43,N00035451,A000370,"{'AgFood': '-0.09058333333333334', 'DefenseGlobal': '-0.0026829268292682985', 'EnergyTransport': '0.03889583333333332', 'Finance': '0.019903846153846154', 'Health': '-0.02714545454545455', 'LaborEmployment': '0.1204'}","{'Health': 51285, 'Finance, Insurance & Real Estate': 104202, 'Defense & Global Relations': 4000, 'Agriculture, Food, & Consumer Goods': 34000, 'Labor/Employment': 136500, 'Energy & Transportation': 34003}"
2,0.361,400004,False,House,115,1965-07-22,4,Robert,M,False,Aderholt,2019-04-08 10:25:08 -0400,,B.,50.0,4.13,2018,235 Cannon House Office Building,R,,22,Rep.,AL,,,Representative,0.0,1212.0,97.41,N00003028,A000055,"{'AgFood': '-0.015482758620689652', 'DefenseGlobal': '0.03732110091743118', 'EnergyTransport': '0.02856589147286821', 'Finance': '-0.09258041958041961', 'Health': '-0.0673095238095238', 'LaborEmployment': '0.02263157894736842'}","{'Health': 103765, 'Finance, Insurance & Real Estate': 343844, 'Defense & Global Relations': 183358, 'Agriculture, Food, & Consumer Goods': 335498, 'Labor/Employment': 16000, 'Energy & Transportation': 159616}"
3,-0.285,412615,False,House,115,1979-06-19,31,Pete,M,False,Aguilar,2019-04-08 10:25:08 -0400,,,14.0,1.16,2018,1223 Longworth House Office Building,D,,4,Rep.,CA,,,Representative,2.0,1212.0,92.96,N00033997,A000371,"{'AgFood': '-0.11945454545454544', 'DefenseGlobal': '-0.002931034482758625', 'EnergyTransport': '0.0231685393258427', 'Finance': '-0.03137168141592919', 'Health': '-0.03510344827586208', 'LaborEmployment': '0.1204'}","{'Health': 226300, 'Finance, Insurance & Real Estate': 633666, 'Defense & Global Relations': 136408, 'Agriculture, Food, & Consumer Goods': 45437, 'Labor/Employment': 177310, 'Energy & Transportation': 128153}"
4,0.611,412625,False,House,115,1951-11-07,12,Rick,M,False,Allen,2019-04-08 10:25:08 -0400,,,16.0,1.32,2018,426 Cannon House Office Building,R,,4,Rep.,GA,,,Representative,0.0,1212.0,98.4,N00033720,A000372,"{'AgFood': '-0.045125', 'DefenseGlobal': '-0.03744827586206897', 'EnergyTransport': '0.10023157894736841', 'Finance': '-0.07060344827586208', 'Health': '-0.06215384615384616', 'LaborEmployment': '0.004428571428571429'}","{'Health': 64100, 'Finance, Insurance & Real Estate': 278425, 'Defense & Global Relations': 11000, 'Agriculture, Food, & Consumer Goods': 128635, 'Labor/Employment': 7500, 'Energy & Transportation': 62050}"
5,0.648,412438,False,House,115,1980-04-18,3,Justin,M,False,Amash,2019-04-08 10:25:08 -0400,,,1.0,0.08,2018,114 Cannon House Office Building,R,,8,Rep.,MI,,,Representative,2.0,1212.0,66.09,N00031938,A000367,"{'AgFood': '0.03216666666666667', 'DefenseGlobal': '0.009457627118644068', 'EnergyTransport': '0.05863366336633663', 'Finance': '-0.13667272727272725', 'Health': '-0.08280851063829789', 'LaborEmployment': '0.0441875'}","{'Health': 28560, 'Finance, Insurance & Real Estate': 92089, 'Defense & Global Relations': 750, 'Agriculture, Food, & Consumer Goods': 50290, 'Labor/Employment': 0, 'Energy & Transportation': 40630}"
6,0.375,412500,False,House,115,1958-06-12,2,Mark,M,False,Amodei,2019-04-08 10:25:08 -0400,,,36.0,2.97,2018,332 Cannon House Office Building,R,,8,Rep.,NV,,,Representative,2.0,1212.0,96.33,N00031177,A000369,"{'AgFood': '0.03244736842105262', 'DefenseGlobal': '0.04533027522935778', 'EnergyTransport': '0.023050847457627123', 'Finance': '-0.09177181208053695', 'Health': '-0.04483950617283951', 'LaborEmployment': '-0.009947368421052632'}","{'Health': 41900, 'Finance, Insurance & Real Estate': 250525, 'Defense & Global Relations': 45900, 'Agriculture, Food, & Consumer Goods': 51092, 'Labor/Employment': 17000, 'Energy & Transportation': 138500}"
7,0.549,412726,False,House,115,1972-03-09,19,Jodey,M,False,Arrington,2019-04-08 10:25:08 -0400,,,32.0,2.64,2018,1029 Longworth House Office Building,R,,2,Rep.,TX,,,Representative,0.0,1212.0,99.06,N00038285,A000375,"{'AgFood': '0.02374999999999999', 'DefenseGlobal': '-0.08989361702127659', 'EnergyTransport': '0.07223333333333333', 'Finance': '-0.09771641791044774', 'Health': '-0.21571428571428575', 'LaborEmployment': '0.06788888888888889'}","{'Health': 84650, 'Finance, Insurance & Real Estate': 350193, 'Defense & Global Relations': 11000, 'Agriculture, Food, & Consumer Goods': 267138, 'Labor/Employment': 2000, 'Energy & Transportation': 189845}"
8,0.693,412655,False,House,115,1948-03-23,36,Brian,M,False,Babin,2019-04-08 10:25:08 -0400,,,20.0,1.65,2018,316 Cannon House Office Building,R,,4,Rep.,TX,,,Representative,0.0,1212.0,96.12,N00005736,B001291,"{'AgFood': '0.0007692307692307614', 'DefenseGlobal': '-0.05051219512195122', 'EnergyTransport': '0.1028387096774193', 'Finance': '-0.07560344827586209', 'Health': '-0.0827258064516129', 'LaborEmployment': '0.004428571428571429'}","{'Health': 178741, 'Finance, Insurance & Real Estate': 224361, 'Defense & Global Relations': 24248, 'Agriculture, Food, & Consumer Goods': 47007, 'Labor/Employment': 24500, 'Energy & Transportation': 253907}"
9,0.432,412713,False,House,115,1963-08-16,2,Don,M,False,Bacon,2019-04-08 10:25:08 -0400,,,1.0,0.08,2018,1516 Longworth House Office Building,R,,2,Rep.,NE,,,Representative,0.0,1212.0,96.68,N00037049,B001298,"{'AgFood': '0.02374999999999999', 'DefenseGlobal': '-0.07062264150943395', 'EnergyTransport': '0.009399999999999997', 'Finance': '-0.09040277777777778', 'Health': '-0.21571428571428575', 'LaborEmployment': '0.06788888888888889'}","{'Health': 96385, 'Finance, Insurance & Real Estate': 646848, 'Defense & Global Relations': 96050, 'Agriculture, Food, & Consumer Goods': 191866, 'Labor/Employment': 62500, 'Energy & Transportation': 242222}"
